Date,Ent-Open,Ent-High,Ent-Low,Ent-Close,Ent-Adj Close,Power-Open,Power-High,Power-Low,Power-Close,Power-Adj Close,Ports-Open,Ports-High,Ports-Low,Ports-Close,Ports-Adj Close
2020-12-09,454,458.100006,447.299988,449.100006,449.100006,53.049999,54.200001,48.650002,49.25,49.25,467.649994,469.899994,458.149994,463.899994,463.899994
2020-12-10,448,452.25,438.049988,447.25,447.25,49.700001,51.400002,45.950001,46.75,46.75,463.899994,474.100006,457,471,471
2020-12-11,447.25,451.799988,440.399994,449.799988,449.799988,46.650002,47.349998,44.450001,44.450001,44.450001,471.75,475,462.700012,466.299988,466.299988
2020-12-14,451,462,447,455.149994,455.149994,44.950001,46.650002,44.5,46.650002,46.650002,468.600006,472.450012,463.100006,467,467
2020-12-15,455.5,464.049988,446.549988,462.450012,462.450012,48.950001,48.950001,47.299999,48.049999,48.049999,469.5,479.649994,461.450012,475.75,475.75
2020-12-16,462.5,467.549988,457.549988,463.25,463.25,48.5,48.700001,46,46.900002,46.900002,480,480.450012,473.149994,475.549988,475.549988
2020-12-17,463.399994,473.950012,455.100006,459.299988,459.299988,46.549999,47.799999,46.200001,47.200001,47.200001,478,478.799988,465.549988,467.75,467.75
2020-12-18,461,464.200012,450.799988,455.149994,455.149994,47.25,47.75,45.049999,47.349998,47.349998,467.75,472.950012,458.5,463.299988,463.299988
2020-12-21,454,460.75,409.649994,429.200012,429.200012,47.349998,47.5,45,45,45,459,467,427.200012,444.25,444.25
2020-12-22,428.200012,461.549988,418.100006,458.799988,458.799988,43.5,45.450001,42.75,44.799999,44.799999,444.25,470.5,435,468.649994,468.649994
2020-12-23,458,466.799988,454.200012,463.600006,463.600006,45.150002,47,45.150002,47,47,467.149994,476.700012,462.5,470.75,470.75
2020-12-24,465,479.850006,462.399994,473.649994,473.649994,47.599998,48.650002,47.299999,47.900002,47.900002,474.899994,482.899994,466,478.549988,478.549988
2020-12-28,473,507,472.700012,490.850006,490.850006,48.25,50.25,47.799999,50.25,50.25,480,492.950012,480,483.549988,483.549988
2020-12-29,492,499.149994,484.700012,489.200012,489.200012,50.849998,51.799999,47.75,50.450001,50.450001,485,489.850006,478.200012,483.399994,483.399994
2020-12-30,489.200012,496,478.399994,484.149994,484.149994,50.700001,51.099998,49.25,50.049999,50.049999,484,487.600006,478.149994,485.399994,485.399994
2020-12-31,481,484,435.75,479.549988,479.549988,50.5,50.75,49.5,49.799999,49.799999,485.399994,490.799988,480.25,483.75,483.75
2021-01-01,477,493.25,477,491.149994,491.149994,49.799999,50.5,49.799999,50.150002,50.150002,485,508,482.549988,503.850006,503.850006
2021-01-04,492,502.600006,486.649994,494.5,494.5,50.700001,50.900002,49.900002,50.200001,50.200001,507,510.899994,495.200012,498.899994,498.899994
2021-01-05,492,501.399994,489.600006,494.399994,494.399994,49.900002,50.25,49,49.799999,49.799999,498.899994,504.5,492,499.450012,499.450012
2021-01-06,496,500.649994,484.25,490.899994,490.899994,50,51.849998,49,50.700001,50.700001,501.799988,504.950012,489.5,496.799988,496.799988
2021-01-07,493.899994,523.950012,493.799988,518.099976,518.099976,51.200001,51.75,50.700001,51,51,500.100006,520.900024,499.5,513.849976,513.849976
2021-01-08,523,526.599976,514.099976,518,518,51.5,53.549999,51.200001,53.450001,53.450001,520,527.349976,514.5,517,517
2021-01-11,520.599976,524.599976,510.5,519.150024,519.150024,54.400002,56.099998,53.599998,56.099998,56.099998,520.450012,522.5,504,508.350006,508.350006
2021-01-12,519,536.599976,517.099976,525.400024,525.400024,56.75,57.400002,55,55.700001,55.700001,507,520.650024,502.549988,511.25,511.25
2021-01-13,529.099976,540.200012,521.299988,536.049988,536.049988,56.299999,56.75,52.950001,53.650002,53.650002,515.900024,540,514.599976,536.650024,536.650024
2021-01-14,534.950012,541,528.400024,532.099976,532.099976,52.75,54.799999,52.75,53.950001,53.950001,537.950012,542.450012,530.099976,536.950012,536.950012
2021-01-15,534.700012,537.5,518.799988,527.299988,527.299988,54.099998,54.950001,52.75,54.099998,54.099998,536.799988,541,524,527.950012,527.950012
2021-01-18,528,529.099976,502.049988,507.850006,507.850006,54.200001,54.900002,52.599998,53.549999,53.549999,531,532.299988,503.799988,515.5,515.5
2021-01-19,512.299988,532,512.299988,530.099976,530.099976,54,55.849998,54,55.299999,55.299999,516,535,516,532.799988,532.799988
